"mois","jour","hrmn","lum","dep","int","agg","com","atm","col","gps","lat","long","catr","circ","nbv","prof","plan","surf","situ","catu","place","sexe","an_nais","trajet","secu","catv","obsm","choc","manv","grav"
5,29,1645,"1",800,"1","1",16,"1","6","M",5000323,265100,"4","2","1","1","1","1","1","1","1","2",1948,"5","11","7","1","2","1","0"
1,6,1500,"1",20,"1","2",163,"1","3","M",4897712,328837,"4","1","1","1","1","1","1","1","1","2",1996,"1","21","1","2","8","1","1"
12,9,1445,"1",20,"1","2",95,"1","6","M",4998672,345046,"4","2","2","1","1","1","1","1","1","1",1993,"5","11","7","1","1","21","0"
3,24,1700,"1",20,"1","2",381,"1","6","M",4992454,409082,"4","2","2","2","1","1","1","1","1","2",1964,"5","11","7","1","2","1","0"
6,16,1300,"1",600,"1","1",277,"1","1","M",4942127,204231,"3","2","2","1","3","1","1","1","1","1",1991,"5","11","7","2","1","13","1"
6,16,1300,"1",600,"1","1",277,"1","1","M",4942127,204231,"3","2","2","1","3","1","1","1","1","2",1975,"1","11","7","2","1","1","1"
8,28,2000,"1",600,"1","1",609,"1","3","M",4946223,197735,"3","2","2","3","1","1","1","1","1","2",1940,"5","11","7","2","3","19","0"
8,28,2000,"1",600,"1","1",609,"1","3","M",4946223,197735,"3","2","2","3","1","1","1","1","1","1",1991,"5","21","33","2","1","1","1"
2,13,1215,"1",600,"1","1",591,"1","1","M",4941969,198848,"3","2","2","1","1","1","1","1","1","2",1983,"1","11","10","2","7","19","0"
2,13,1215,"1",600,"1","1",591,"1","1","M",4941969,198848,"3","2","2","1","1","1","1","1","1","2",1954,"5","11","10","2","1","1","1"
8,1,1830,"1",600,"1","2",220,"1","3","M",4944100,187043,"2","2","2","2","3","1","1","1","1","1",1970,"1","11","7","2","3","13","0"
8,1,1830,"1",600,"1","2",220,"1","3","M",4944100,187043,"2","2","2","2","3","1","1","1","1","1",1984,"5","11","7","2","3","1","0"
11,8,1915,"5",600,"1","2",315,"1","1","M",4947045,189899,"3","2","2","1","1","1","1","1","1","1",1994,"5","12","7","2","1","1","1"
11,8,1915,"5",600,"1","2",315,"1","1","M",4947045,189899,"3","2","2","1","1","1","1","1","1","1",1968,"5","11","7","2","1","1","0"
5,30,900,"1",600,"1","1",300,"1","1","M",4930606,194162,"3","2","2","1","1","1","1","1","1","2",1980,"2","11","7","2","1","13","1"
5,30,900,"1",600,"1","1",300,"1","1","M",4930606,194162,"3","2","2","1","1","1","1","1","1","2",1974,"2","11","7","2","1","1","0"
2,21,1700,"1",600,"1","2",462,"1","5","M",4933288,220300,"3","4","1","2","1","2","1","1","1","1",1994,"9","21","30","2","1","17","1"
